Lags,ALL,,,,,,,WARM,,,,,,,COLD,,,,,,
Day,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,LowRR,UperRR
3,NO2,-0.000500919,0.000549439,0.361996977,0.995601611,0.986211142,1.005081493,NO2,0.000332606,0.000644651,0.605926038,1.002931216,0.99184146,1.014144967,NO2,-0.001168969,0.000491505,0.017447113,0.989765801,0.981410554,0.998192181
4,NO2,5.75E-05,0.000549081,0.916561993,1.000506384,0.991075765,1.010026741,NO2,0.000695033,0.000637722,0.275850907,1.00613503,0.995128765,1.017263026,NO2,-0.000400171,0.00049417,0.418123319,0.996484692,0.988027303,1.005014475
5,NO2,0.00052894,0.000552402,0.338371858,1.00466552,0.99513869,1.014283554,NO2,0.000684359,0.000641752,0.286324959,1.006040527,0.994966132,1.017238184,NO2,0.000333669,0.000497273,0.502269882,1.0029406,0.994375192,1.011579789
6,NO2,-0.000328945,0.000550826,0.550425108,0.99710947,0.987681142,1.0066278,NO2,0.000333179,0.000640185,0.602791323,1.002936273,0.991922855,1.014071974,NO2,-0.000719039,0.000495675,0.146979327,0.993692434,0.985233169,1.002224329
7,NO2,-0.000749803,0.000547021,0.170560964,0.993423451,0.984094561,1.002840776,NO2,-0.000398418,0.000634812,0.53029909,0.996500062,0.985648671,1.007470921,NO2,-0.00102255,0.000491563,0.037584127,0.991041921,0.982674917,0.999480167
8,NO2,-0.000519354,0.00055175,0.346627355,0.995440111,0.986011862,1.004958513,NO2,0.000452353,0.000643532,0.482154165,1.003988636,0.992906349,1.015194617,NO2,-0.001080016,0.000493554,0.02872206,0.990540881,0.982144373,0.999009172
9,NO2,-0.000732446,0.000553613,0.185918011,0.993575207,0.98413299,1.003108016,NO2,0.001024691,0.000650551,0.115326684,1.009058059,0.997799001,1.020444163,NO2,-0.00183002,0.000493316,0.000210993,0.9840248,0.975687533,0.99243331
10,NO2,0.000347917,0.000555119,0.530870942,1.003066364,0.993508142,1.012716543,NO2,0.002107916,0.000652526,0.001248385,1.018722777,1.007321561,1.030253037,NO2,-0.000713298,0.000496037,0.150531003,0.993742638,0.985276796,1.002281221
11,NO2,0.000548477,0.000557967,0.325683813,1.004838263,0.995214273,1.014555319,NO2,0.001471546,0.00065053,0.023758006,1.013033812,1.001730756,1.024464407,NO2,-0.000125817,0.000501171,0.801794539,0.998893426,0.99029601,1.007565482
12,NO2,0.001110419,0.00056,0.047462647,1.009819587,1.000112818,1.019620567,NO2,0.001576354,0.000657215,0.016516182,1.013968578,1.002539489,1.025527959,NO2,0.000742891,0.000501385,0.138522281,1.006558855,0.997891771,1.015301216
